Active,Combined_Key,Confirmed,Country_Region,Deaths,Last_Update,Lat,Long_,Province_State,Recovered
581,"Brazoria, Texas, US",588,US,7,2020-05-08 02:32:32,29.18757369,-95.44563172,Texas,0
215,"Brazos, Texas, US",232,US,17,2020-05-08 02:32:32,30.663644800000004,-96.30205577,Texas,0
2,"Breathitt, Kentucky, US",2,US,0,2020-05-08 02:32:32,37.52333168,-83.31959161,Kentucky,0
11,"Breckinridge, Kentucky, US",11,US,0,2020-05-08 02:32:32,37.77377239,-86.42885017,Kentucky,0
51,"Bremer, Iowa, US",56,US,5,2020-05-08 02:32:32,42.77461496,-92.31795937,Iowa,0
317,"Brevard, Florida, US",325,US,8,2020-05-08 02:32:32,28.29409504,-80.73091022,Florida,0
1,"Brewster, Texas, US",1,US,0,2020-05-08 02:32:32,29.81008251,-103.25203259999999,Texas,0
1,"Briscoe, Texas, US",1,US,0,2020-05-08 02:32:32,34.53026962,-101.2084947,Texas,0
4297,"Bristol, Massachusetts, US",4529,US,232,2020-05-08 02:32:32,41.79228404,-71.10872211,Massachusetts,0
154,"Bristol, Rhode Island, US",154,US,0,2020-05-08 02:32:32,41.71018079,-71.28652315,Rhode Island,0
2,"Bristol, Virginia, US",2,US,0,2020-05-08 02:32:32,36.616302399999995,-82.16359122,Virginia,0
