"DATERECORDED","STATE","POSITIVE","NEGATIVE","TEST_TOTAL","DEATH","DELIVERIES","COST","WEIGHT",
2020-05-08 00:00:00,"RI",10779,74487,85266,399,7,5947.14,317,
2020-05-09 00:00:00,"RI",10989,76826,87815,418,7,5947.14,317,
2020-05-10 00:00:00,"RI",11274,79939,91213,422,7,5947.14,317,
2020-05-11 00:00:00,"RI",11450,81882,93332,430,7,5947.14,317,
2020-05-06 00:00:00,"SC",6936,70546,77482,305,28,8977.74,1625,
2020-05-07 00:00:00,"SC",6936,70546,77482,305,37,18840.39,3515,
2020-05-08 00:00:00,"SC",7142,66300,73442,316,214,9675882.54,16071,
2020-05-09 00:00:00,"SC",7531,73432,80963,330,214,9675882.54,16071,
2020-05-10 00:00:00,"SC",7653,76804,84457,331,214,9675882.54,16071,
2020-05-11 00:00:00,"SC",7653,76804,84457,331,217,9696350.91,16464,
2020-05-06 00:00:00,"SD",2779,16637,19416,29,2,1204.87,140,
2020-05-07 00:00:00,"SD",2905,17209,20114,31,2,1204.87,140,
2020-05-08 00:00:00,"SD",3144,18149,21293,31,193,327253.69,4933,
2020-05-09 00:00:00,"SD",3393,19559,22952,34,193,327253.69,4933,
2020-05-10 00:00:00,"SD",3517,20377,23894,34,193,327253.69,4933,
2020-05-11 00:00:00,"SD",3614,20964,24578,34,193,327253.69,4933,
2020-05-06 00:00:00,"TN",13938,213163,227101,239,21,7226.33,1365,
2020-05-07 00:00:00,"TN",14096,222232,236328,237,30,17088.98,3255,
2020-05-08 00:00:00,"TN",14441,229137,243578,241,158,1264259.28,22954,
2020-05-09 00:00:00,"TN",14768,237980,252748,242,158,1264259.28,22954,
2020-05-10 00:00:00,"TN",14985,246884,261869,243,158,1264259.28,22954,
2020-05-11 00:00:00,"TN",15544,257733,273277,251,161,1287712.93,23485,
2020-05-06 00:00:00,"TX",34422,404516,438938,948,191,127798.33,12862,
2020-05-07 00:00:00,"TX",35390,419772,455162,973,231,171686.48,21065,
2020-05-08 00:00:00,"TX",36609,440509,477118,1004,813,4607169.26,62359,
2020-05-09 00:00:00,"TX",37860,451434,489294,1049,813,4607169.26,62359,
2020-05-10 00:00:00,"TX",38869,462907,501776,1088,813,4607169.26,62359,
2020-05-11 00:00:00,"TX",39869,485828,525697,1100,836,4806980.65,65844,
2020-05-06 00:00:00,"UT",5595,125407,131002,58,9,1969.49,410,
2020-05-07 00:00:00,"UT",5724,128819,134543,61,10,3065.34,620,
2020-05-08 00:00:00,"UT",5919,132769,138688,61,42,53847.69,3431,
2020-05-09 00:00:00,"UT",6103,137191,143294,66,42,53847.69,3431,
2020-05-10 00:00:00,"UT",6251,140259,146510,67,42,53847.69,3431,
2020-05-11 00:00:00,"UT",6362,144223,150585,68,43,56883.7,3645,
2020-05-06 00:00:00,"VA",20256,93452,114177,713,61,23003.84,3579,
2020-05-07 00:00:00,"VA",21570,101582,123671,769,72,35058.19,5889,
2020-05-08 00:00:00,"VA",22342,107603,130494,812,330,1238938.15,25613,
2020-05-09 00:00:00,"VA",23196,113953,137650,827,330,1238938.15,25613,
2020-05-10 00:00:00,"VA",24081,118974,143561,839,330,1238938.15,25613,
