DateRecorded,Country,State,City,Confirmed,Deaths,Recovered,Active,Latitude,Longitude
05/05/2020,US,Texas,Burleson,14,0,0,14,30.49273808,-96.62158484
05/05/2020,US,New Jersey,Burlington,3207,164,0,3043,39.87681124,-74.66927768
05/05/2020,US,Texas,Burnet,24,0,0,24,30.78801353,-98.181887
05/05/2020,US,Nebraska,Burt,5,0,0,5,41.85056773,-96.32605633
05/05/2020,US,Alabama,Butler,120,2,0,118,31.75300095,-86.68057478
05/05/2020,US,Iowa,Butler,10,0,0,10,42.73172833,-92.79015971
05/05/2020,US,Kansas,Butler,14,0,0,14,37.78134351,-96.83878537
05/05/2020,US,Kentucky,Butler,181,4,0,177,37.20946153,-86.68748787
05/05/2020,US,Missouri,Butler,26,0,0,26,36.71462476,-90.40421163
05/05/2020,US,Nebraska,Butler,8,0,0,8,41.22703692,-97.13106306
05/05/2020,US,Ohio,Butler,346,8,0,338,39.44012838,-84.57388716
05/05/2020,US,Pennsylvania,Butler,184,6,0,178,40.91152759,-79.91351055
05/05/2020,US,California,Butte,17,0,0,17,39.66727762,-121.6005252
05/05/2020,US,South Dakota,Butte,0,0,0,0,44.90608745,-103.5079318
05/05/2020,US,Georgia,Butts,158,17,0,141,33.283094500000004,-83.95435040000002
05/05/2020,US,North Carolina,Cabarrus,320,15,0,305,35.3877799,-80.55267168
05/05/2020,US,West Virginia,Cabell,44,0,0,44,38.42424062,-82.23855912
05/05/2020,US,Louisiana,Caddo,1639,123,0,1516,32.57991587,-93.88375652
05/05/2020,US,Oklahoma,Caddo,77,8,0,69,35.17364557,-98.37534464
05/05/2020,US,California,Calaveras,13,0,0,13,38.20537103,-120.552913
05/05/2020,US,Louisiana,Calcasieu,470,34,0,436,30.22931235,-93.35400434
05/05/2020,US,Kentucky,Caldwell,12,0,0,12,37.14749129,-87.86948214
05/05/2020,US,Louisiana,Caldwell,40,0,0,40,32.0902519,-92.11752148
05/05/2020,US,Missouri,Caldwell,3,0,0,3,39.65620858,-93.98308093
05/05/2020,US,North Carolina,Caldwell,45,0,0,45,35.95204977,-81.54799522
05/05/2020,US,Texas,Caldwell,23,0,0,23,29.83668859,-97.61814775
05/05/2020,US,Vermont,Caledonia,14,0,0,14,44.46548598,-72.10314651
05/05/2020,US,Alabama,Calhoun,114,3,0,111,33.77483727,-85.82630386
05/05/2020,US,Florida,Calhoun,15,0,0,15,30.40666734,-85.19394153
05/05/2020,US,Georgia,Calhoun,107,5,0,102,31.53169785,-84.62725131
05/05/2020,US,Illinois,Calhoun,1,0,0,1,39.16840183,-90.66330078
05/05/2020,US,Iowa,Calhoun,1,0,0,1,42.38521079,-94.64046046
05/05/2020,US,Michigan,Calhoun,246,16,0,230,42.24633834,-85.00493569
05/05/2020,US,Mississippi,Calhoun,58,4,0,54,33.93683395,-89.33686647
05/05/2020,US,South Carolina,Calhoun,7,1,0,6,33.66926881,-80.77722168
05/05/2020,US,Texas,Calhoun,34,3,0,31,28.47048236,-96.61633945
05/05/2020,US,Texas,Callahan,2,0,0,2,32.29760619,-99.37326312
05/05/2020,US,Missouri,Callaway,23,1,0,22,38.83674754,-91.92186505
05/05/2020,US,Kentucky,Calloway,35,1,0,34,36.62093411,-88.2731593
05/05/2020,US,Wisconsin,Calumet,20,0,0,20,44.0816316,-88.21780273
05/05/2020,US,Maryland,Calvert,174,11,0,163,38.53961642,-76.56820632
05/05/2020,US,Idaho,Camas,1,0,0,1,43.46665742,-114.8065892
05/05/2020,US,Pennsylvania,Cambria,34,1,0,33,40.49527404,-78.71377428
05/05/2020,US,Georgia,Camden,34,1,0,33,30.92951916,-81.66601818
05/05/2020,US,Missouri,Camden,35,1,0,34,38.02199522,-92.76083747
05/05/2020,US,New Jersey,Camden,4251,180,0,4071,39.80343818,-74.96388753
05/05/2020,US,North Carolina,Camden,2,0,0,2,36.33804939,-76.15568396
05/05/2020,US,Louisiana,Cameron,3,0,0,3,29.87592238,-93.19310676
05/05/2020,US,Pennsylvania,Cameron,2,0,0,2,41.43625568,-78.20376845
05/05/2020,US,Texas,Cameron,443,18,0,425,26.14524221,-97.48140372
05/05/2020,US,Texas,Camp,7,0,0,7,32.97195142,-94.97790104
05/05/2020,US,Kentucky,Campbell,103,9,0,94,38.94384345,-84.37875208
