DateRecorded,State,CountyName,Population,Population20Plus,Population65Plus,StaffedAllBeds,StaffedICUBeds,LicensedAllBeds
05/07/2020,AZ,Santa Cruz,46511.0,32672.0,8421.0,25.0,0.0,25.0
05/07/2020,AZ,Yavapai,231993.0,189653.0,73278.0,353.0,39.0,436.0
05/07/2020,AZ,Yuma,212128.0,152468.0,39828.0,457.0,42.0,457.0
05/07/2020,CA,Alameda,1666753.0,1285672.0,230510.0,3564.0,323.0,4380.0
05/07/2020,CA,Amador,39383.0,32821.0,10633.0,52.0,6.0,52.0
05/07/2020,CA,Butte,231256.0,177091.0,42992.0,471.0,43.0,641.0
05/07/2020,CA,Calaveras,45602.0,37091.0,12553.0,25.0,0.0,25.0
05/07/2020,CA,Colusa,21627.0,15136.0,3163.0,42.0,6.0,48.0
05/07/2020,CA,Contra Costa,1150215.0,864047.0,181443.0,1636.0,163.0,1760.0
05/07/2020,CA,Del Norte,27828.0,21442.0,5018.0,39.0,6.0,49.0
05/07/2020,CA,El Dorado,190678.0,148905.0,40389.0,189.0,28.0,190.0
05/07/2020,CA,Fresno,994400.0,685246.0,122113.0,2983.0,154.0,3354.0
05/07/2020,CA,Glenn,28047.0,19875.0,4453.0,15.0,0.0,47.0
05/07/2020,CA,Humboldt,136373.0,105615.0,24380.0,233.0,24.0,291.0
05/07/2020,CA,Imperial,181827.0,124766.0,23580.0,268.0,28.0,268.0
05/07/2020,CA,Inyo,17987.0,13946.0,4210.0,29.0,4.0,29.0
05/07/2020,CA,Kern,896764.0,612776.0,98347.0,1579.0,144.0,1832.0
05/07/2020,CA,Kings,151366.0,106456.0,15516.0,230.0,22.0,230.0
05/07/2020,CA,Lake,64382.0,49675.0,14635.0,50.0,8.0,62.0
05/07/2020,CA,Lassen,30802.0,24861.0,4667.0,25.0,0.0,25.0
05/07/2020,CA,Los Angeles,10105518.0,7658126.0,1375957.0,23071.0,2305.0,27400.0
05/07/2020,CA,Madera,157672.0,110204.0,22051.0,464.0,52.0,464.0
05/07/2020,CA,Marin,259666.0,202554.0,57943.0,481.0,66.0,481.0
05/07/2020,CA,Mariposa,17471.0,14385.0,4882.0,18.0,0.0,18.0
05/07/2020,CA,Mendocino,87606.0,67013.0,19366.0,100.0,14.0,142.0
05/07/2020,CA,Merced,274765.0,183973.0,30845.0,242.0,24.0,242.0
05/07/2020,CA,Modoc,8777.0,6935.0,2358.0,20.0,0.0,20.0
05/07/2020,CA,Mono,14250.0,11329.0,2253.0,17.0,2.0,17.0
05/07/2020,CA,Monterey,435594.0,309015.0,59201.0,691.0,47.0,729.0
05/07/2020,CA,Napa,139417.0,107234.0,26665.0,318.0,48.0,510.0
05/07/2020,CA,Nevada,99696.0,80902.0,27380.0,129.0,10.0,137.0
05/07/2020,CA,Orange,3185968.0,2405275.0,470387.0,6033.0,679.0,6923.0
05/07/2020,CA,Placer,393149.0,297232.0,76906.0,693.0,70.0,748.0
05/07/2020,CA,Plumas,18804.0,15243.0,5345.0,42.0,0.0,42.0
05/07/2020,CA,Riverside,2450758.0,1765227.0,353122.0,3624.0,410.0,4150.0
05/07/2020,CA,Sacramento,1540975.0,1142245.0,217601.0,3200.0,396.0,3455.0
05/07/2020,CA,San Benito,61537.0,44030.0,7937.0,49.0,8.0,111.0
05/07/2020,CA,San Bernardino,2171603.0,1538834.0,251361.0,6150.0,425.0,6340.0
05/07/2020,CA,San Diego,3343364.0,2530033.0,469454.0,6581.0,644.0,8533.0
05/07/2020,CA,San Francisco,883305.0,750638.0,138249.0,2885.0,343.0,4364.0
05/07/2020,CA,San Joaquin,752660.0,527329.0,95916.0,1334.0,131.0,1385.0
05/07/2020,CA,San Luis Obispo,284010.0,221032.0,57040.0,1619.0,54.0,1649.0
05/07/2020,CA,San Mateo,769545.0,596430.0,123921.0,1920.0,131.0,2674.0
05/07/2020,CA,Santa Barbara,446527.0,327086.0,68465.0,713.0,82.0,1055.0
05/07/2020,CA,Santa Clara,1937570.0,1468830.0,261131.0,4252.0,328.0,4858.0
05/07/2020,CA,Santa Cruz,274255.0,208062.0,45127.0,354.0,22.0,374.0
05/07/2020,CA,Shasta,180040.0,137660.0,37553.0,571.0,81.0,596.0
05/07/2020,CA,Sierra,2987.0,2470.0,945.0,0.0,0.0,39.0
05/07/2020,CA,Siskiyou,43724.0,33990.0,11160.0,50.0,8.0,61.0
05/07/2020,CA,Solano,446610.0,337906.0,70430.0,705.0,92.0,803.0
05/07/2020,CA,Sonoma,499942.0,389573.0,98714.0,824.0,82.0,1922.0
05/07/2020,CA,Stanislaus,549815.0,386470.0,72319.0,1380.0,88.0,1576.0
05/07/2020,CA,Sutter,96807.0,69461.0,14902.0,30.0,0.0,92.0
05/07/2020,CA,Tehama,63916.0,47186.0,12389.0,49.0,8.0,76.0
05/07/2020,CA,Trinity,12535.0,10199.0,3420.0,25.0,0.0,25.0
05/07/2020,CA,Tulare,465861.0,309138.0,53292.0,702.0,65.0,2127.0
05/07/2020,CA,Tuolumne,54539.0,44435.0,14279.0,84.0,6.0,164.0
05/07/2020,CA,Ventura,850967.0,634248.0,132387.0,1388.0,163.0,1643.0
05/07/2020,CA,Yolo,220408.0,160633.0,27535.0,125.0,14.0,125.0
05/07/2020,CA,Yuba,78041.0,54627.0,9955.0,209.0,24.0,221.0
05/07/2020,CO,Adams,511868.0,363607.0,53587.0,1439.0,264.0,1567.0
05/07/2020,CO,Alamosa,16683.0,11597.0,2271.0,49.0,6.0,49.0
05/07/2020,CO,Arapahoe,651215.0,483909.0,85065.0,1146.0,127.0,1327.0
05/07/2020,CO,Archuleta,13765.0,11049.0,3585.0,11.0,0.0,11.0
05/07/2020,CO,Baca,3585.0,2719.0,886.0,15.0,0.0,23.0
05/07/2020,CO,Boulder,326078.0,249020.0,46486.0,665.0,66.0,805.0
05/07/2020,CO,Chaffee,20027.0,16697.0,5084.0,25.0,2.0,25.0
05/07/2020,CO,Cheyenne,1876.0,1353.0,385.0,11.0,0.0,25.0
05/07/2020,CO,Conejos,8200.0,5834.0,1582.0,17.0,0.0,17.0
05/07/2020,CO,Delta,30953.0,24161.0,8024.0,49.0,6.0,49.0
05/07/2020,CO,Denver,716492.0,562256.0,84216.0,1661.0,231.0,2692.0
05/07/2020,CO,Douglas,342776.0,245443.0,40935.0,576.0,54.0,611.0
05/07/2020,CO,Eagle,54993.0,41888.0,6356.0,56.0,5.0,56.0
05/07/2020,CO,El Paso,713856.0,521553.0,91063.0,1334.0,91.0,1717.0
05/07/2020,CO,Fremont,48021.0,39372.0,10402.0,25.0,4.0,25.0
05/07/2020,CO,Garfield,59770.0,43290.0,7858.0,53.0,5.0,103.0
05/07/2020,CO,Grand,15525.0,12599.0,2732.0,21.0,0.0,48.0
05/07/2020,CO,Gunnison,17246.0,13409.0,2236.0,20.0,0.0,24.0
05/07/2020,CO,Huerfano,6889.0,5654.0,2148.0,16.0,0.0,20.0
05/07/2020,CO,Jefferson,580233.0,452758.0,95477.0,244.0,18.0,626.0
05/07/2020,CO,Kiowa,1383.0,1049.0,324.0,25.0,0.0,25.0
05/07/2020,CO,Kit Carson,7163.0,5188.0,1385.0,19.0,0.0,19.0
05/07/2020,CO,La Plata,56310.0,43888.0,9668.0,94.0,11.0,94.0
05/07/2020,CO,Lake,7824.0,6072.0,1117.0,8.0,0.0,25.0
05/07/2020,CO,Larimer,350518.0,269205.0,54938.0,714.0,55.0,744.0
05/07/2020,CO,Las Animas,14503.0,11394.0,3529.0,25.0,0.0,25.0
05/07/2020,CO,Lincoln,5610.0,4400.0,985.0,15.0,0.0,15.0
05/07/2020,CO,Logan,21528.0,16819.0,3824.0,25.0,4.0,25.0
05/07/2020,CO,Mesa,153207.0,115523.0,29238.0,399.0,44.0,504.0
05/07/2020,CO,Moffat,13188.0,9496.0,2020.0,25.0,0.0,25.0
05/07/2020,CO,Montezuma,26158.0,19873.0,5785.0,25.0,4.0,25.0
05/07/2020,CO,Montrose,42214.0,32239.0,9836.0,50.0,8.0,75.0
05/07/2020,CO,Morgan,28558.0,20419.0,4422.0,61.0,6.0,75.0
05/07/2020,CO,Otero,18432.0,13436.0,3766.0,25.0,0.0,25.0
05/07/2020,CO,Phillips,4286.0,3148.0,966.0,40.0,0.0,40.0
05/07/2020,CO,Pitkin,17950.0,14959.0,3482.0,25.0,4.0,25.0
05/07/2020,CO,Prowers,12164.0,8580.0,2143.0,25.0,0.0,25.0
05/07/2020,CO,Pueblo,167529.0,125321.0,30988.0,770.0,18.0,1252.0
05/07/2020,CO,Rio Blanco,6336.0,4606.0,985.0,25.0,0.0,71.0
05/07/2020,CO,Rio Grande,11250.0,8422.0,2276.0,17.0,0.0,17.0
05/07/2020,CO,Routt,25733.0,20527.0,3974.0,39.0,4.0,39.0
05/07/2020,CO,Sedgwick,2303.0,1798.0,604.0,9.0,0.0,15.0
05/07/2020,CO,Summit,31007.0,25557.0,4235.0,34.0,8.0,35.0
05/07/2020,CO,Teller,25083.0,20383.0,5505.0,15.0,0.0,15.0
05/07/2020,CO,Weld,314305.0,222543.0,38224.0,225.0,26.0,378.0
05/07/2020,CO,Yuma,10020.0,7106.0,1851.0,31.0,0.0,31.0
05/07/2020,CT,Fairfield,943823.0,705483.0,149918.0,1757.0,183.0,1757.0
05/07/2020,CT,Hartford,892697.0,682144.0,152874.0,2352.0,216.0,2490.0
05/07/2020,CT,Litchfield,181111.0,144365.0,38502.0,157.0,21.0,242.0
05/07/2020,CT,Middlesex,162682.0,129655.0,33067.0,209.0,24.0,209.0
05/07/2020,CT,New Haven,857620.0,658201.0,148886.0,2271.0,176.0,2782.0
05/07/2020,CT,New London,266784.0,207963.0,48611.0,401.0,32.0,401.0
05/07/2020,CT,Tolland,150921.0,115796.0,23845.0,209.0,16.0,209.0
05/07/2020,CT,Windham,117027.0,90112.0,19418.0,148.0,6.0,148.0
05/07/2020,DC,District of Columbia,702455.0,553743.0,85303.0,3190.0,401.0,4623.0
05/07/2020,DE,Kent,178550.0,132495.0,30483.0,380.0,29.0,385.0
05/07/2020,DE,New Castle,559335.0,422743.0,87028.0,2812.0,201.0,3191.0
05/07/2020,DE,Sussex,229286.0,182858.0,63575.0,289.0,29.0,476.0
